,compressor_1_dischargePressure,compressor_1_calculatedCapacity,compressor_1_suctionPressure,compressor_1_motorCurrent
2023-01-11 00:00:00-08:00,44.302777777777834,6.0,3.462111111111091,0.0
2023-01-11 00:15:00-08:00,44.37066666666744,6.005333333333353,4.730444444444444,0.0
2023-01-11 00:30:00-08:00,44.397333333334075,6.1587777777777575,10.640111111111128,0.0
2023-01-11 00:45:00-08:00,44.442444444444575,6.300000000000104,8.180555555555523,0.0
2023-01-11 01:00:00-08:00,44.59999999999925,6.300000000000104,7.824000000000028,0.0
2023-01-11 01:15:00-08:00,44.62555555555469,6.373444444444374,6.7723333333333215,0.0
2023-01-11 01:30:00-08:00,44.74333333333404,6.39999999999994,5.774222222222224,0.0
2023-01-11 01:45:00-08:00,44.84399999999991,6.39999999999994,7.388333333333304,0.0
2023-01-11 02:00:00-08:00,44.86866666666742,6.39999999999994,7.050777777777764,0.0
2023-01-11 02:15:00-08:00,44.95600000000022,6.39999999999994,6.947555555555564,0.0
2023-01-11 02:30:00-08:00,45.002,6.39999999999994,6.97477777777782,0.0
2023-01-11 02:45:00-08:00,45.13777777777758,6.406444444444399,7.683777777777811,0.0
2023-01-11 03:00:00-08:00,45.20522222222199,7.325444444444451,7.978666666666751,0.0
2023-01-11 03:15:00-08:00,45.18444444444424,7.351666666666563,8.203555555555665,0.0
2023-01-11 03:30:00-08:00,45.178333333333505,7.0327777777778495,8.425888888888855,0.0
2023-01-11 03:45:00-08:00,45.102222222221805,6.503777777777792,8.518333333333356,0.0
2023-01-11 04:00:00-08:00,45.214444444444844,6.553777777777705,8.60322222222225,0.0
2023-01-11 04:15:00-08:00,45.26177777777821,6.3161111111112165,4.756333333333327,0.0
2023-01-11 04:30:00-08:00,45.29900000000026,6.300000000000104,2.8634444444444225,0.0
2023-01-11 04:45:00-08:00,45.326000000000015,6.303000000000097,3.223222222222252,0.0
2023-01-11 05:00:00-08:00,45.44933333333381,6.300000000000104,2.892999999999994,0.0
2023-01-11 05:15:00-08:00,45.441777777777716,6.300000000000104,3.7654444444444453,0.0
2023-01-11 05:30:00-08:00,45.49555555555562,6.300000000000104,4.211333333333317,0.0
2023-01-11 05:45:00-08:00,45.39822222222197,6.300000000000104,4.541666666666659,0.0
2023-01-11 06:00:00-08:00,45.420000000000435,6.300000000000104,3.8976666666666673,0.0
2023-01-11 06:15:00-08:00,45.37211111111105,6.300000000000104,1.7510000000000145,0.0
2023-01-11 06:30:00-08:00,45.20577777777788,6.300000000000104,2.7244444444444404,0.0
2023-01-11 06:45:00-08:00,45.03133333333346,5.789666666666677,8.981444444444465,0.0
2023-01-11 07:00:00-08:00,45.0,5.653111111111009,9.767444444444479,0.0
2023-01-11 07:15:00-08:00,44.9695555555557,5.69911111111102,7.518888888888914,0.0
2023-01-11 07:30:00-08:00,45.04511111111099,5.659333333333326,6.7692222222222265,0.0
2023-01-11 07:45:00-08:00,45.05255555555563,5.63066666666664,3.8604444444444352,0.0
2023-01-11 08:00:00-08:00,44.96488888888936,5.622888888888837,8.820777777777785,0.0
2023-01-11 08:15:00-08:00,44.91444444444471,5.589666666666681,11.201888888888911,0.0
2023-01-11 08:30:00-08:00,44.920777777778056,5.540222222222215,8.15177777777777,0.0
2023-01-11 08:45:00-08:00,45.0746666666665,5.5354444444444555,8.6543333333333,0.0
2023-01-11 09:00:00-08:00,45.16799999999991,5.534333333333342,8.91777777777781,0.0
2023-01-11 09:15:00-08:00,45.192333333333444,5.545111111111151,8.902888888888928,0.0
2023-01-11 09:30:00-08:00,45.23433333333367,5.570444444444465,8.843333333333337,0.0
2023-01-11 09:45:00-08:00,45.271666666667116,5.5827777777778,8.737222222222268,0.0
2023-01-11 10:00:00-08:00,45.33000000000006,5.573666666666702,8.342555555555643,0.0
2023-01-11 10:15:00-08:00,45.41955555555548,5.565555555555569,8.484333333333344,0.0
2023-01-11 10:30:00-08:00,45.4711111111108,5.557333333333365,8.36399999999993,0.0
2023-01-11 10:45:00-08:00,45.539333333332756,5.593777777777771,8.193999999999976,0.0
2023-01-11 11:00:00-08:00,45.573111111110954,5.582444444444469,8.252333333333475,0.0
2023-01-11 11:15:00-08:00,45.636666666666414,5.560111111111128,7.703777777777801,0.0
2023-01-11 11:30:00-08:00,45.76588888888841,5.6000000000000165,7.774222222222328,0.0
2023-01-11 11:45:00-08:00,45.817111111111046,5.6000000000000165,7.801555555555576,0.0
2023-01-11 12:00:00-08:00,45.84999999999997,5.555777777777809,7.632666666666647,0.0
2023-01-11 12:15:00-08:00,46.0,5.6000000000000165,4.042555555555501,0.0
2023-01-11 12:30:00-08:00,45.93311111111107,5.574111111111148,2.951555555555561,0.0
2023-01-11 12:45:00-08:00,45.99222222222217,5.6000000000000165,2.632000000000006,0.0
2023-01-11 13:00:00-08:00,46.01544444444422,5.6000000000000165,2.4526666666666532,0.0
2023-01-11 13:15:00-08:00,46.09999999999923,5.532222222222214,2.7106666666666586,0.0
2023-01-11 13:30:00-08:00,46.15988888888892,5.5,2.6488888888888873,0.0
2023-01-11 13:45:00-08:00,46.260333333333556,5.554777777777747,3.0868888888888866,0.0
2023-01-11 14:00:00-08:00,46.270999999999695,5.792111111111137,2.960555555555533,0.0
2023-01-11 14:15:00-08:00,46.277333333333424,6.917666666666696,3.502333333333325,0.0
2023-01-11 14:30:00-08:00,46.29933333333348,7.670999999999995,3.851000000000015,0.0
2023-01-11 14:45:00-08:00,46.28522222222215,7.316555555555583,3.5062222222222292,0.0
